id,title,num_subscribers,avg_rating,num_reviews,num_lectures,num_practice_tests,year,price_amount,discount_amount,currency
1988542,Kubernetes Certified Application Developer (CKAD) with Tests,13785,4.69332,494,135,0,2018,432.0,22.75,SR
1109926,GraphQL with React: The Complete Developers Guide,13785,4.46205,494,115,0,2017,432.0,22.75,SR
1248732,Easy to Advanced Data Structures,13785,4.31347,494,48,0,2017,432.0,22.75,SR
775330,30 Days of Python | Unlock your Python Potential,13785,4.39493,494,45,0,2016,432.0,22.75,SR
2707184,Java Programming: Complete Beginner to Advanced,13785,4.20639,494,17,0,2019,448.0,22.75,SR
1419186,Data Structures and Algorithms:  Deep Dive Using Java,13785,4.39185,494,116,0,2017,320.0,22.75,SR
1212244,Android O & Java - The Complete Android Development Bootcamp,13785,4.32432,494,147,0,2017,432.0,22.75,SR
770336,"Understanding Jira for users, managers and admins",13785,4.44543,494,59,0,2016,352.0,22.75,SR
713104,Data Science: Deep Learning in Python,13785,4.65761,494,89,0,2016,432.0,22.75,SR
1207960,The Complete Android Kotlin Developer Course,13785,3.95506,494,147,0,2017,432.0,22.75,SR
1672380,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,13785,4.612,494,147,0,2018,448.0,22.75,SR
1302610,Master Java Web Services and RESTful API with Spring Boot,13785,4.38344,494,109,0,2017,432.0,22.75,SR
1716630,Microservices Software Architecture: Patterns and Techniques,13785,4.11185,494,23,0,2018,384.0,22.75,SR
1198640,Python OOP : Four Pillars of OOP in Python 3 for Beginners,13785,4.43026,494,25,0,2017,432.0,22.75,SR
1743420,JavaScript Basics for Beginners,13785,4.51374,494,105,0,2018,384.0,22.75,SR
1501104,JavaScript: The Advanced Concepts,13785,4.77971,494,147,0,2019,432.0,22.75,SR
860148,R Programming: Advanced Analytics In R For Data Science,13785,4.66703,494,53,0,2016,432.0,22.75,SR
818990,Git a Web Developer Job: Mastering the Modern Workflow,13785,4.69847,494,68,0,2016,432.0,22.75,SR
360920,The Complete Android & Java Developer Course - Build 21 Apps,13785,4.18164,494,147,0,2014,432.0,22.75,SR
1148688,Design Patterns in C# and .NET,13785,4.37832,494,147,0,2017,320.0,22.75,SR
380872,Learn JMETER from Scratch on Live Apps -Performance Testing,13785,4.42883,494,65,0,2015,432.0,22.75,SR
971154,Introduction to Machine Learning for Data Science,13785,4.42028,494,62,0,2016,432.0,22.75,SR
918390,Natural Language Processing with Deep Learning in Python,13785,4.63293,494,95,0,2016,96.0,22.75,SR
496050,Microservices with Spring Cloud,13785,4.30586,494,30,0,2015,96.0,22.75,SR
1000574,The Complete Developers Guide to MongoDB,13785,4.44495,494,129,0,2016,432.0,22.75,SR
1315262,"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle",13785,4.29132,494,30,0,2017,432.0,22.75,SR
80940,Build Websites from Scratch with HTML & CSS,13785,4.56925,494,77,0,2013,432.0,22.75,SR
